SUBJECT	Coursecode	GRADING_BASIS_ENRL	Gender	AGE	YearSchool	COMP_ACT_SCORE	URM	msl01	msl02	msl03	msl04	msl05	msl06	msl07	msl08	msl09	msl10	msl11	msl12	msl13	msl14	msl15	msl16	msl17	msl18	msl19	msl20	Exams_percent	Course_percent	NonExam_percent	ZExams_percent	ZCourse_percent	ZNonExam_percent
BIOL	1001.1	A-F	0	20	Junior	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.90275	0.9328	0.96285	1.100788188	0.927740579	0.192511133
BIOL	1001.1	A-F	1	20	Sophomore	19	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.4875	0.7468	1.0061	-2.221172201	-1.316885128	0.707946849
BIOL	1001.1	A-F	0	20	Sophomore	19	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.494416667	0.7393	0.984183333	-2.165839525	-1.407394229	0.446753024
BIOL	1001.1	A-F	0	20	Freshman	20	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.631916667	0.812	0.992083333	-1.065852641	-0.530059342	0.540901975
BIOL	1001.1	A-F	0	20	Freshman	22	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.711166667	0.7288	0.746433333	-0.431860201	-1.534106971	-2.386653716
BIOL	1001.1	A-F	0	20	Sophomore	22	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.755583333	0.8805	1.005416667	-0.07653111	0.296590447	0.699803167
BIOL	1001.1	WTH	0	20	Junior	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	A-F	0	20	Freshman	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.6945	0.8461	0.9977	-0.565191947	-0.11854463	0.607839103
BIOL	1001.1	A-F	1	20	Freshman	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.709666667	0.8312	0.952733333	-0.443860058	-0.298356044	0.071944856
BIOL	1001.1	A-F	0	20	Sophomore	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.779166667	0.8669	0.954633333	0.112133312	0.132467277	0.094588274
BIOL	1001.1	S-N	1	20	Sophomore	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.783333333	0.9072	1.031066667	0.145466243	0.618802847	1.00548932
BIOL	1001.1	A-F	1	20	Sophomore	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.813916667	0.8996	0.985283333	0.390129998	0.527086958	0.459862371
BIOL	1001.1	A-F	1	20	Non-degree	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.823666667	0.8593	0.894933333	0.468129068	0.040751388	-0.616891778
BIOL	1001.1	A-F	0	20	Sophomore	24	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.67775	0.8021	0.92645	-0.699190349	-0.649531356	-0.2412891
BIOL	1001.1	A-F	1	20	Sophomore	24	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.863916667	0.9498	1.035683333	0.790125228	1.132894541	1.060508847
